1870,1,Тарановский район МВД,ст.187 ч.1,12/10/18 17:10,ЛОГОВАЯ,5,86506.7653,5878632.714
1900,2,ГОВД г.Атырау,ст.190 ч.2,12/9/18 15:38,№2,1,-793275.6174,5364833.923
1070,1,"ГУ ""Северный отдел ОВД г.Костанай""",ст.107 ч.1,12/10/18 7:27,ТЕКСТИЛЬЩИКОВ,3,145574.5833,5912172.666
1870,1,Илийский район МВД,ст.187 ч.1,12/9/18 14:00,null,null,1139628.836,4853115.796
1870,1,Илийский район МВД,ст.187 ч.1,11/30/18 0:00,null,null,1150013.753,4847294.951
1880,2,УВД района Есиль,ст.188 ч.1,11/15/18 15:20,null,null,669664.5722,5666808.725
1900,1,УВД района Есиль,ст.190 ч.1,10/23/18 21:00,Е-49,7,667762.2142,5666055.983
1880,2,Шардаринский РОВД,ст.188 ч.2,12/23/17 19:00,null,null,416227.1961,4566822.697
1880,2,РУВД Бостандыкского района,ст.188 ч.1,11/19/18 10:20,null,null,1142470.854,4808511.925
1880,2,г.Петропавловск ГОП № 2,ст.188 ч.1,12/10/18 9:40,ПУГАЧЕВА,10,512093.7746,6078113.207
1900,1,г.Тараз МВД Центральный район (ОП-2),ст.190 ч.1,10/10/18 10:00,КОЛБАСШЫ КОЙГЕЛЬДИ,119,693579.485,4753371.675
1880,2,г.Рудный МВД,ст.188 ч.1,12/10/18 10:00,КОМСОМОЛЬСКИЙ,40,104021.035,5884868.699
1880,2,Карасайский район МВД,ст.188 ч.2,12/10/18 19:30,СУЫКТОБЕ,13,1112050.228,4810290.656
1880,2,РУВД Турксибского района,ст.188 ч.1,12/11/18 10:00,Айтыкова,143,1146458.57,4826122.077
1910,3,Сайрамский РУВД,ст.191 ч.2,11/26/18 0:30,null,null,567024.5844,4699300.655
1880,2,г.Экибастуз ГОВД,ст.188 ч.1,11/4/18 1:00,ЭНЕРГОСТРОИТЕЛЕЙ,11,934939.5333,5748847.055
3400,1,ОВД  Райымбекского района,ст.340 ч.2,10/15/18 11:40,null,null,1368705.467,4823230.409
3400,1,ОВД  Райымбекского района,ст.340 ч.2,5/5/18 16:40,null,null,1369529.215,4825312.637
1880,2,р-н им.Казыбек би г.Караганды  Юго-Восточный  ОП,ст.188 ч.1,12/10/18 19:00,ВОЛОЧАЕВСКАЯ,37,796681.8272,5522234.658
1900,3,Алматинский РУВД,ст.190 ч.3,4/24/16 16:00,null,null,680300.502,5666510.819
1900,3,Алматинский РУВД,ст.190 ч.4,12/28/15 12:00,null,null,680323.5767,5666563.716
1880,2,РОП Медеуского района,ст.188 ч.1,11/25/18 8:00,Каримбаева,61,1148877.839,4822540.153
1880,2,РОП Медеуского района,ст.188 ч.1,12/6/18 10:00,Каримбаева,61,1148877.839,4822540.153
1880,2,Саздинский ОП г.Актобе,ст.188 ч.1,12/10/18 13:45,МЯСОЕДОВА ГРИГОРИЯ ПАВЛОВИЧА,117,-339624.8296,5636259.297
1900,2,Департамент государственных доходов по Костанайской области,ст.190 ч.2,12/21/17 11:00,КОММУНАЛЬНАЯ,10,3418.781,5780957.1
1880,2,РОВД Чингирлауский район ЗКО,ст.188 ч.2,12/10/18 0:30,null,null,-541212.4382,5768765.672
2970,3,г.Темиртау УВД,ст.297 ч.1,12/10/18 17:50,null,null,784686.799,5551317.131
1490,1,Атбасарского района РОВД,ст.149 ч.2,11/24/18 4:00,МАТРОСОВА,30,455931.1542,5739812.523
